====== Items ======
>[[start]]
===== Here goes nothing! =====

^	-Type-	^	-Index-	^	-Name-	^	-ID-	^	-Effect-	^	-Description-	^
|	Ingrediment	|	644	|	Cannon Scrap	|	CannonDebris	|	Cannon Morte 	|	A scrap from a shattered cannon.	|
|	Ingrediment	|	645	|	Gargoyle Stone	|	Gargoyledebris	|	Gargoyle 	|	A fragment claimed from the wreckage of a gargoyle.	|
|	Ingrediment	|	646	|	Hellhorse Mane	|	Gamiginhair	|	Gamigin 	|	The mane of an untameable equine demon.	|
|	Ingrediment	|	647	|	Water Horse Mane	|	Glashtynhair	|	Glashtyn 	|	The mane of a water horse.	|
|	Ingrediment	|	648	|	Lion Mane	|	ManeLion	|	Sabnock 	|	A very soft and fluffy mane.	|
|	Ingrediment	|	649	|	Lion Lord's Mane	|	Marbasmane	|	Marbas 	|	A mane that continues to exude valor.	|
|	Ingrediment	|	650	|	Monster Bird Hair	|	MonsterBirdHair	|	Celaeno 	|	The lovely hair of a demon...bird?	|
|	Ingrediment	|	651	|	Thunderbird Plume	|	ThunderbirdFeathers	|	Celaeno 	|	A light, yet sturdy feather.	|
|	Ingrediment	|	652	|	Flight Feather	|	WindFeathers	|	Ocypete 	|	An elegant feather.	|
|	Ingrediment	|	653	|	Bovine Plume	|	Haagentifeather	|	Haagenti 	|	A feather imbued with the power of levitation.	|
|	Ingrediment	|	654	|	Small Webbing	|	BatFeather	|	Bat 	|	The wing membrane of a bat.	|
|	Ingrediment	|	655	|	Toad Webbing	|	Toadwing	|	Water Leaper 	|	The wing membrane of a flying toad.	|
|	Ingrediment	|	656	|	Demon Wing	|	Gaapwing	|	Gaap, Giant Bat	|	A wing from a demon.	|
|	Ingrediment	|	657	|	Rat Tail	|	Giantrattail	|	Giant Rat 	|	The tail of a giant rat.	|
|	Ingrediment	|	658	|	Demon Tail	|	DevilRoyalTail	|	Archdemon 	|	A tail from a demon.	|
|	Ingrediment	|	659	|	Lili Tail	|	Lilimtail	|	Lili 	|	A charming prize taken from a murderous rabbit-lady-thing.	|
|	Ingrediment	|	660	|	Queen's Tail	|	Lamastutail	|	Lamashtu 	|	An elegant and regal tail.	|
|	Ingrediment	|	661	|	Lili Ears	|	Lilimear	|	Lili 	|	The ears of a half-rabbit, half-human.	|
|	Ingrediment	|	662	|	Faerie Wing	|	Dineseawing	|	Sidhe 	|	A wing plucked from a faerie.	|
|	Ingrediment	|	663	|	Vespine Wing	|	Tytaniawing	|	Titania 	|	A wing plucked from a wasp-like faerie.	|
|	Ingrediment	|	664	|	Faerie Dust	|	FairyPowder	|	Carabosse, Titania	|	Glittering dust produced from the scales of faerie wings.	|
|	Ingrediment	|	665	|	Vespine Stinger	|	TytaniaPoisonedNeedle	|	Scythe Mite, Sidhe	|	A stinger containing deadly venom.	|
|	Ingrediment	|	666	|	Dragon Scale	|	Dragonscales	|	Dragon 	|	A scale as rigid as armor.	|
|	Ingrediment	|	667	|	Dragon's Wrath	|	Abyssguardianbastard	|	Abyssal Guardian 	|	A rare scale that is oft said to be the source of a dragon's rage.	|
|	Ingrediment	|	668	|	Dreadful Rag	|	DemonCloth	|	Barbatos 	|	A scrap of cloth once worn by a demon.	|
|	Ingrediment	|	669	|	Durable Rag	|	Assasincloth	|	Assassin 	|	A scrap of cloth once worn by an assassin.	|
|	Ingrediment	|	670	|	Sinister Rag	|	Lerajecloth	|	Leraje, Cyhyraeth	|	A scrap of cloth once worn by an especially awful demon.	|
|	Ingrediment	|	671	|	Eastern Fabric	|	Ninjacloth	|	Ninja 	|	A scrap of cloth once worn by a shinobi.	|
|	Ingrediment	|	672	|	Houndskin	|	DemonDogSkin	|	Gieremund 	|	The hide of a demonic dog.	|
|	Ingrediment	|	673	|	Monster Fur	|	MonkeyFur	|	Simian 	|	A fur from a monster.	|
|	Ingrediment	|	674	|	Leonine Pelt	|	Buerfur	|	Buer 	|	The thick pelt of a lion demon.	|
|	Ingrediment	|	675	|	Sinister Pelt	|	Wolfmanfur	|	Wolfman 	|	The pelt of an unusually cruel demon.	|
|	Ingrediment	|	676	|	Durable Leather	|	Decarabialeather	|	Decarabia 	|	Tough leather that will not tear easily.	|
|	Ingrediment	|	677	|	Strange Leather	|	DevilBookLeather	|	Dantalion 	|	Leather with unusual patterning.	|
|	Ingrediment	|	678	|	Slimy Leather	|	Decimaleather	|	Deeseama 	|	Tough leather that still glistens with...ugh...	|
|	Ingrediment	|	679	|	Demon Pelt	|	Silverwolffur	|	Macaron, Gusion	|	A loathsome pelt taken from a demon.	|
|	Ingrediment	|	680	|	Fiend Pelt	|	Gusionfur	|	Silver Wolfman 	|	A pelt clouded in darkness.	|
|	Ingrediment	|	681	|	Toad Eye	|	Poisontoadeye	|	Toad 	|	A slightly creepy, goggling eyeball.	|
|	Ingrediment	|	682	|	Sinister Eye	|	Evileye	|	Poison Toad 	|	An evil eye, literally.	|
|	Ingrediment	|	683	|	Demon Eye	|	SeekerEye	|	Seeker, Giant Toad	|	The probing eye of a demon.	|
|	Ingrediment	|	684	|	Fiend Eye	|	DevilRoyalEyeball	|	Tracer 	|	An eye that sees only darkness.	|
|	Ingrediment	|	685	|	Toad Heart	|	ToadHeart	|	Toad, Poison Toad, Water Leaper	|	The heart of a...well, no need to spell it out.	|
|	Ingrediment	|	686	|	Sinister Heart	|	BelialHeart	|	Demon 	|	The heart of an unusually cruel demon.	|
|	Ingrediment	|	687	|	Demon Heart	|	EligosHeart	|	Archdemon, Giant Toad	|	The blackened heart of a demon.	|
|	Ingrediment	|	688	|	Dragon Heart	|	AbyssguardianHeart	|	Abyssal Guardian 	|	A heart that continues to pulse angrily.	|
|	Ingrediment	|	689	|	Fiend Heart	|	MurmurHeart	|	Demon Lord 	|	A heart that brims with darkness.	|
|	Ingrediment	|	690	|	Monster Blood	|	Toadfluid	|	Simian 	|	The blood of some hellish creature.	|
|	Ingrediment	|	691	|	Aquatic Blood	|	Misteriousfluid	|	Scylla, Deeseama	|	The blood of an aquatic demon.	|
|	Key	|	503	|	Galleon Map	|	ShipMap	|	Galleon Chest	|	A map of the Minerva.	|
|	Key	|	504	|	Passplate	|	Certificationboard	|	OD	|	A relic required to pass through the demons' entry gate.	|
|	Key	|	505	|	Identification	|	IDphoto	|	Dominique	|	The latest in ecclesiastical research: a rather hazy "photograph."	|
|	Key	|	506	|	Silver Bromide	|	Silverbromide	|	Gold Chest	|	A special mineral required to produce "photographs".	|
|	Key	|	507	|	Carpenter's Key	|	Keyofbacker1	|	Dian Cecht Cathedral: big room outside Bloodless, Invert	|	Unlocks a special room, inside which a demon awaits your challenge.	|
|	Key	|	508	|	Warhorse's Key	|	Keyofbacker2	|	Glacial Tomb: Chest in room with Gusion Cannon	|	Unlocks a special room, inside which a demon awaits your challenge.	|
|	Key	|	509	|	Millionaire's Key	|	Keyofbacker3	|	Den of Behemoths: Chest first big room, Invert	|	Unlocks a special room, inside which a demon awaits your challenge.	|
|	Key	|	510	|	Celeste's Key	|	Keyofbacker4	|	Hall of Termination: Chest in roof outside Gebel	|	Unlock Celeste's room.	|
|	Key	|	511	|	Hair Apparent I	|	Worldfashionfirstissue	|	Dian Cecht Cathedral: big room outside Bloodless	|	A magazine issue that glamorizes the "French braid."	|
|	Key	|	512	|	Hair Apparent II	|	WorldfashionNo02	|	Dian Cecht Cathedral: East bell room top, ReflectionRay	|	A magazine issue that glamorizes "swept-back" hairstyles.	|
|	Key	|	513	|	Hair Apparent III	|	WorldfashionNo03	|	Quest, Lindsay	|	A magazine issue that glamorizes "hair bunches."	|
|	Key	|	514	|	Hair Apparent IV	|	WorldfashionNo04	|	Quest: Susie	|	A magazine issue that glamorizes the "double bun."	|
|	Key	|	515	|	Hair Apparent V	|	WorldfashionNo05	|	Not obtainable, already unlocked.	|	A magazine issue that glamorizes "straight long" hairstyles.	|
|	Key	|	516	|	Hair Apparent VI	|	WorldfashionNo06	|	Towers of Twin Dragons: Chest at floor first room	|	A magazine issue that glamorizes "boyish" hairstyles.	|
|	Key	|	517	|	Hair Apparent VII	|	WorldfashionNo07	|	Towers of Twin Dragons: Chest first room, jumpkick candle	|	A magazine issue that glamorizes the "ponytail."	|
|	Key	|	518	|	Hair Apparent VIII	|	WorldfashionNo08	|	Oriental Sorcery Lab: Room opposite of teleporter	|	A magazine issue that glamorizes "geisha" hairstyles.	|
|	Key	|	519	|	Hair Apparent IX	|	WorldfashionNo09	|	Quest: Abigail	|	A magazine issue that glamorizes "braided bangs."	|
|	Key	|	520	|	Hair Apparent X	|	WorldfashionNo10	|	Dian Cecht Cathedral: Under falling bell room	|	A magazine issue that glamorizes "vintage curls."	|
|	Key	|	521	|	Hair Apparent XI	|	WorldfashionNo11	|	Hall of Termination: Room above teleporter	|	A magazine issue that glamorizes "high forehead" hairstyles.	|
|	Key	|	522	|	Hair Apparent XII	|	WorldfashionNo12	|	Galleon Minerva: Left deck, top right, Invert	|	A magazine issue that glamorizes "valkyrie" hairstyles.	|
|	Key	|	523	|	Village Key	|	VillageKey	|	Dominique	|	A key that opens the locked door in the shelter.	|
|	Key	|	524	|	Fine Healing Item/R	|	ItemRecipe001	|	Enterance, outside Zangetsu1 	|	A recipe for a fine healing item.	|
|	Key	|	525	|	Ultimate Healing Item/R	|	ItemRecipe002	|	Hall of Termination, room over the bottom save 	|	A recipe for the ultimate healing item.	|
|	Key	|	526	|	Faerie Healing Item/R	|	ItemRecipe003	|	Garden of Silence, Big room after the Teleport 	|	A recipe for a faerie healing item.	|
|	Key	|	527	|	Elemental Ammunition/R	|	BalletRecipe001	|	Forbidden Underground Waterway, room near save under the east entry from banshee 	|	A recipe for ammunition imbued with elemental magic.	|
|	Key	|	528	|	Special Ammunition/R	|	BalletRecipe002	|	Towers of Twin Dragons, room before elevator 	|	A recipe for ammunition with special effects.	|
|	Key	|	529	|	Potent Ammunition/R	|	BalletRecipe003	|	Hidden Desert, middle between both teleporters 	|	A recipe for potent ammunition.	|
|	Key	|	530	|	Ultimate Ammunition/R	|	BalletRecipe004	|	Inferno Cave, room almost above the save point 	|	A recipe for the ultimate ammunition. Uses diamond.	|
|	Key	|	531	|	Steel Equipment/R	|	ArmsRecipe003	|	Forbidden Underground Waterway, near save over waterline 	|	A recipe for steel equipment.	|
|	Key	|	532	|	Obsidian Equipment/R	|	ArmsRecipe004	|	Garden of Silence, big room with chariot 	|	A recipe for obsidian equipment.	|
|	Key	|	533	|	Damascus Equipment/R	|	ArmsRecipe005	|	Underground Sorcery Lab, opposite save room can't double jump 	|	A recipe for Damascus equipment.	|
|	Key	|	534	|	Gold Equipment/R	|	ArmsRecipe007	|	Livre Ex Machina, room with dragon above the teleport near OD 	|	A recipe for gold equipment.	|
|	Key	|	535	|	Crimsonite Equipment/R	|	ArmsRecipe009	|	Oriental Sorcery Lab, room through portals almost right under the teleport 	|	A recipe for crimsonite equipment.	|
|	Key	|	536	|	Cashmere Equipment/R	|	ArmsRecipe012	|	Den of Behemoths, go left from the second big open room 	|	A recipe for cashmere equipment.	|
|	Key	|	537	|	Fine Equipment/R	|	ArmsRecipe018	|	Hall of Termination, room down and to right from the room with the switch for the door 	|	A recipe for fine equipment.	|
|	Key	|	538	|	Very Fine Equipment/R	|	ArmsRecipe019	|	Dian Cecht Cathedral, top of the room with falling bells 	|	A recipe for very fine equipment.	|
|	Key	|	539	|	Legendary Equipment/R	|	ArmsRecipe020	|	Hall of Termination, room outside Gebel 	|	A recipe for legendary equipment.	|
|	Key	|	540	|	Ramen/R	|	DishRecipe002	|	Oriental Sorcery Lab, portal room, middle left exit 	|	A recipe for ramen.	|
|	Key	|	541	|	Curry Dish/R	|	DishRecipe003	|	Forbidden Underground Waterway, other side of the waterfall 	|	A recipe for a curry dish.	|
|	Key	|	542	|	Pasta Dish/R	|	DishRecipe004	|	Towers of Twin Dragons, upper left tower 	|	A recipe for a pasta dish.	|
|	Key	|	543	|	Meat Dish/R	|	DishRecipe005	|	Enterance, room above the big room with lionman 	|	A recipe for a meat dish.	|
|	Key	|	544	|	Fish Dish/R	|	DishRecipe006	|	Forbidden Underground Waterway, Big room in middle of all saverooms 	|	A recipe for a fish dish.	|
|	Key	|	545	|	Sweets/R	|	DishRecipe007	|	Towers of Twin Dragons, upper left tower, middle left on the map slider under a cog 	|	A recipe for sweets.	|
|	Key	|	546	|	Cookies/R	|	DishRecipe008	|	Livre Ex Machina, long room above zanetsu fight 	|	A recipe for cookies.	|
|	Key	|	547	|	Cake/R	|	DishRecipe010	|	Dian Cecht Cathedral, hall with closed door and banshee between two big rooms, left of bell room 	|	A recipe for cake.	|
|	Key	|	548	|	Drink/R	|	DishRecipe011	|	Livre Ex Machina, two rooms left of the big room with spikes at bottom, room has a dragon 	|	A recipe for a drink.	|
|	Key	|	549	|	Ultimate Dish/R	|	DishRecipe014	|	Forbidden Underground Waterway, teleport at end of desert, two rooms up 	|	A recipe for the "ultimate dish." Allegedly more delicious than the "supreme dish."	|
|	Key	|	550	|	Supreme Dish/R	|	DishRecipe015	|	Forbidden Underground Waterway, exit from inferno cave hidden in wall before you jump down toward teleport 	|	A recipe for the "supreme dish." Allegedly more delicious than the "ultimate dish."	|
|	Key	|	551	|	Discount Card	|	DiscountCard	|	Shop, after Bathin	|	A card given to the supply post's loyal customers. Allows you to purchase items at a discount.	|
|	Key	|	552	|	Vepar Medal	|	Medal001	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Vepar.	|
|	Key	|	553	|	Zangetsu Medal	|	Medal002	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Zangetsu.	|
|	Key	|	554	|	Craftwork Medal	|	Medal003	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over the Craftwork.	|
|	Key	|	555	|	Andrealphus Medal	|	Medal004	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Andrealphus.	|
|	Key	|	556	|	Glutton Train Medal	|	Medal005	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over the Glutton Train.	|
|	Key	|	557	|	Valac Medal	|	Medal006	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Valac.	|
|	Key	|	558	|	Bathin Medal	|	Medal007	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Bathin.	|
|	Key	|	559	|	Abyssal Guardian Medal	|	Medal008	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over the Abyssal Guardian.	|
|	Key	|	560	|	Gebel Medal	|	Medal009	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Gebel.	|
|	Key	|	561	|	Bloodless Medal	|	Medal010	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Bloodless.	|
|	Key	|	562	|	Alfred Medal	|	Medal011	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Alfred.	|
|	Key	|	563	|	Orobas Medal	|	Medal012	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Orobas.	|
|	Key	|	564	|	True Zangetsu Medal	|	Medal013	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Zangetsu at his most powerful.	|
|	Key	|	565	|	Valefar Medal	|	Medal014	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Valefar.	|
|	Key	|	566	|	Gremory Medal	|	Medal015	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Gremory.	|
|	Key	|	567	|	Dominique Medal	|	Medal016	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Dominique.	|
|	Key	|	568	|	Bael Medal	|	Medal017	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Bael.	|
|	Key	|	569	|	O.D. Medal	|	Medal018	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over Orlok Dracule.	|
|	Key	|	570	|	Unused	|	Medal019	|	Unobtainable	|	Unused	|
|	Key	|	571	|	IGA Medal	|	Medal020	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over IGA.	|
|	Key	|	572	|	8-bit Medal	|	Medal021	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over the Eight Bit Overlord.	|
|	Key	|	573	|	Doppelganger Medal	|	Medal023	|	Defeat boss taking 0 damage, only used for bragging rights.	|	Proof that you have triumphed over the Doppelganger.	|
|	Potion	|	0	|	Potion	|	Potion	|	50	|	Medicine for restoring a small amount of health.	|
|	Potion	|	1	|	High Potion	|	HighPotion	|	250	|	Medicine for restoring a large amount of health.	|
|	Potion	|	2	|	Ex Potion	|	ExPotion	|	9999	|	Medicine for fully restoring health.	|
|	Potion	|	3	|	Ether	|	Ether	|	MP 30	|	Medicine for restoring a small amount of magic.	|
|	Potion	|	4	|	High Ether	|	HighEther	|	MP 150	|	Medicine for restoring a large amount of magic.	|
|	Potion	|	5	|	Ex Ether	|	ExEther	|	MP 9999	|	Medicine for fully restoring magic.	|
|	Potion	|	6	|	Mithridate	|	Mithridate	|	ClearPoison	|	Medicine for purging poison from the body.	|
|	Potion	|	7	|	Holy Water	|	HolyWater	|	ClearCurse	|	Water that has been blessed. Removes curses.	|
|	Potion	|	8	|	Stonethaw	|	Stonethaw	|	ClearStone	|	Medicine that restores flexibility to petrified flesh.	|
|	Potion	|	9	|	Poison	|	Poison	|	Poison	|	A substance that poisons you and drains health over a period of time.	|
|	Potion	|	10	|	Waystone	|	Waystone	|	WayStone	|	A relic that takes you wherever you picture. Requires concentration.	|
|	Potion	|	11	|	Panacea	|	Panacea	|	ClearAll	|	A medicine that dispels all afflictions.	|
|	Potion	|	12	|	Faerie Medicine	|	FaerieMedicine	|	50	|	Medicine for restoring a small amount of health. Only used by Carabosse.	|
|	Potion	|	13	|	Faerie Elixir	|	FaerieElixir	|	250	|	Medicine for restoring a large amount of health. Only used by Carabosse.	|
|	Potion	|	14	|	Faerie Allheal	|	FaerieAllheal	|	9999	|	Medicine for fully restoring health. Only used by Carabosse.	|
|	Potion	|	15	|	Faerie Panacea	|	FaeriePanacea	|	ClearAll	|	A medicine that dispels all afflictions. Only used by Carabosse.	|
|	Seed	|	500	|	Corn Seed	|	SeedCorn	|	Farming	|	Corn that has been kept for planting. You could use it to create more corn.	|
|	Seed	|	501	|	Rice Seed	|	SeedRice	|	Farming	|	Rice that has been kept for planting. You could use it to create more rice.	|
|	Seed	|	502	|	Potato Seed	|	SeedPotato	|	Farming	|	A potato that has been kept for planting. Salt allows you to grow a larger crop.	|
|	Upgrades	|	56	|	MaxHPUP	|	MaxHPUP	|	20	|		|
|	Upgrades	|	57	|	MaxMPUP	|	MaxMPUP	|	10	|		|
|	Upgrades	|	58	|	MaxBulletUP	|	MaxBulletUP	|	5	|		|
|	Upgrades	|	59	|	HPFullRecovery	|	HPFullRecovery	|		|		|
|	Upgrades	|	60	|	MPFullRecovery	|	MPFullRecovery	|		|		|
